,total_long,total_short,net_short,total_oi,net_short_ratio,concentration_top5_short,concentration_top5_long,date,symbol,signal_level
1517,59229,64613,5384,123842,4.35,150.94,147.22,2021-07-09,IC2107,多头占优
1518,51962,56714,4752,108676,4.37,151.47,144.79,2021-07-12,IC2107,多头占优
1519,46104,48564,2460,94668,2.6,151.25,145.85,2021-07-13,IC2107,多头占优
1520,36936,37189,253,74125,0.34,146.37,146.57,2021-07-14,IC2107,多头占优
1521,52353,59124,6771,111477,6.07,151.04,147.2,2021-07-15,IC2108,多头占优
1522,61084,67210,6126,128294,4.77,152.25,147.59,2021-07-16,IC2108,多头占优
1523,62403,67981,5578,130384,4.28,149.93,145.64,2021-07-19,IC2108,多头占优
1524,60827,67499,6672,128326,5.2,150.0,146.7,2021-07-20,IC2108,多头占优
1525,57796,64660,6864,122456,5.61,150.75,146.15,2021-07-21,IC2108,多头占优
1526,57176,63644,6468,120820,5.35,150.62,145.59,2021-07-22,IC2108,多头占优
1527,59594,66451,6857,126045,5.44,150.41,146.18,2021-07-23,IC2108,多头占优
1528,67879,73291,5412,141170,3.83,149.22,148.41,2021-07-26,IC2108,多头占优
1529,71792,76038,4246,147830,2.87,149.62,150.18,2021-07-27,IC2108,多头占优
1530,77300,79241,1941,156541,1.24,150.49,148.27,2021-07-28,IC2108,多头占优
1531,68086,71530,3444,139616,2.47,149.07,147.28,2021-07-29,IC2108,多头占优
1532,65090,67653,2563,132743,1.93,148.43,147.48,2021-07-30,IC2108,多头占优
1533,60669,65866,5197,126535,4.11,148.34,145.11,2021-08-02,IC2108,多头占优
1534,60801,63707,2906,124508,2.33,148.59,146.31,2021-08-03,IC2108,多头占优
1535,56278,61790,5512,118068,4.67,146.67,145.67,2021-08-04,IC2108,多头占优
1536,55500,60257,4757,115757,4.11,147.32,145.25,2021-08-05,IC2108,多头占优
1537,53140,59241,6101,112381,5.43,148.09,145.8,2021-08-06,IC2108,多头占优
1538,51814,57679,5865,109493,5.36,148.8,144.84,2021-08-09,IC2108,多头占优
1539,50938,55406,4468,106344,4.2,149.82,143.66,2021-08-10,IC2108,多头占优
1540,48164,53463,5299,101627,5.21,149.84,142.52,2021-08-11,IC2108,多头占优
1541,46550,51601,5051,98151,5.15,151.54,144.64,2021-08-12,IC2108,多头占优
1542,45902,51290,5388,97192,5.54,151.75,144.92,2021-08-13,IC2108,多头占优
1543,41219,46070,4851,87289,5.56,153.66,143.53,2021-08-16,IC2108,多头占优
1544,39477,41302,1825,80779,2.26,149.62,146.08,2021-08-17,IC2108,多头占优
1545,27528,28549,1021,56077,1.82,149.71,145.54,2021-08-18,IC2108,多头占优
1546,98730,113326,14596,212056,6.88,149.18,142.11,2021-08-19,IC2109,多头占优
1547,108136,120305,12169,228441,5.33,149.0,142.95,2021-08-20,IC2109,多头占优
1548,99358,112592,13234,211950,6.24,148.27,142.03,2021-08-23,IC2109,多头占优
1549,97156,110153,12997,207309,6.27,148.41,141.07,2021-08-24,IC2109,多头占优
1550,95985,109329,13344,205314,6.5,147.75,140.01,2021-08-25,IC2109,多头占优
1551,97291,108909,11618,206200,5.63,147.75,140.27,2021-08-26,IC2109,多头占优
1552,97106,110052,12946,207158,6.25,148.0,140.94,2021-08-27,IC2109,多头占优
1553,94853,106580,11727,201433,5.82,147.21,139.31,2021-08-30,IC2109,多头占优
1554,90673,102172,11499,192845,5.96,146.19,139.39,2021-08-31,IC2109,多头占优
